FlightNo,X,Y,Z
FL00000,9338.941,4240.858,3084.603
FL00001,6330.148,7774.574,4187.009
FL00002,4041.662,3329.483,9276.716
FL00003,1.09,6079.329,5105.435
FL00004,4191.265,3525.32,6974.406
FL00005,820.19,1964.271,9797.871
FL00006,7020.46,4559.672,3901.188
FL00007,3107.711,6230.231,6848.292
FL00008,2217.47,9133.382,659.888
FL00009,5203.317,1486.715,6948.759
FL00010,1018.205,5191.704,8178.327
FL00011,2725.056,8223.439,6913.318
FL00012,2331.333,6678.964,7324.539
FL00013,5180.415,2675.981,9673.316
FL00014,3244.818,1400.774,11265.757
FL00015,3447.383,4653.792,2161.832
FL00016,3955.105,370.731,7891.362
FL00017,6259.282,8413.887,4688.359
FL00018,8268.734,7495.058,2990.837
FL00019,2953.839,3177.417,11.596
FL00020,1506.507,7785.628,4385.008
FL00021,4198.32,4347.779,11274.215
FL00022,5908.669,8664.981,6862.874
FL00023,9816.224,7297.893,8479.937
FL00024,9110.618,4809.442,3068.446
FL00025,9485.741,9831.384,8796.121
FL00026,3574.561,3836.801,8163.718
FL00027,9446.981,4206.732,8840.672
FL00028,4493.861,5058.661,8003.278
FL00029,7461.296,1270.81,798.726
FL00030,8176.839,7351.287,5892.427
FL00031,5170.378,3663.952,2237.17
FL00032,9153.822,4082.863,880.464
FL00033,3664.754,7412.101,11643.491
FL00034,8959.182,80.575,216.257
FL00035,8062.953,8806.176,3080.034
FL00036,5658.265,3937.74,7628.938
FL00037,5282.7,3165.806,4444.761
FL00038,5736.111,5348.728,8038.137
FL00039,6563.517,3388.382,4074.816
FL00040,4844.042,8788.509,10388.851
FL00041,8739.917,5952.663,4355.667
FL00042,5352.5,5402.227,884.879
FL00043,2821.932,4367.614,5677.653
FL00044,9490.212,1011.462,7231.753
FL00045,6592.45,6227.102,11114.133
FL00046,788.913,3991.791,8245.084
FL00047,7077.502,4081.356,6957.951
FL00048,5201.327,4715.972,5036.44
FL00049,4777.709,7996.386,4469.151
FL00050,7797.14,7103.834,11239.829
FL00051,4813.129,5052.692,5302.113
FL00052,2436.962,7136.936,11232.218
FL00053,1779.404,1143.23,5020.343
FL00054,6846.962,8771.715,4176.211
FL00055,3438.909,7015.893,2345.601
FL00056,5191.437,5447.203,4421.164
FL00057,9307.773,5136.605,5149.532
FL00058,698.396,3453.649,10966.028
FL00059,2485.067,7266.169,2343.189
FL00060,1146.738,6864.329,6258.664
FL00061,3546.912,6641.828,1980.375
FL00062,5066.376,4012.699,5612.307
FL00063,6563.908,3762.634,8305.132
FL00064,7416.578,7778.103,9868.152
FL00065,7931.443,3278.826,2989.755
FL00066,1668.837,1982.701,4262.813
FL00067,6509.697,1138.874,1603.325
FL00068,308.009,9566.579,6820.066
FL00069,1635.401,7742.475,8500.121
FL00070,6983.536,6913.367,5059.737
FL00071,917.05,7421.912,290.65
FL00072,7000.582,8882.224,10158.704
FL00073,607.452,6335.63,11276.171
FL00074,42.638,2290.049,5052.786
FL00075,7361.705,4125.203,2138.465
FL00076,1714.459,2800.857,7950.557
FL00077,7579.355,8340.385,8425.545
FL00078,4078.744,8527.359,5650.464
FL00079,5724.082,3897.751,2415.373
FL00080,9545.654,8023.293,9255.608
FL00081,5748.251,5377.073,6089.122
FL00082,3992.282,3994.751,9900.78
FL00083,1692.329,4914.912,1853.224
FL00084,1858.677,8019.65,1213.223
FL00085,2504.963,705.545,5366.293
FL00086,8439.945,6938.1,3668.143
FL00087,3417.639,9510.924,10911.665
FL00088,3939.399,1329.219,2133.862
FL00089,9984.96,6327.986,5276.502
FL00090,4540.561,7608.925,11608.719
FL00091,6121.383,2944.54,6474.261
FL00092,140.767,8663.571,11508.749
FL00093,2236.856,1173.134,10758.96
FL00094,4657.803,8254.328,8693.758
FL00095,7684.746,7006.959,6043.228
FL00096,4968.61,6441.496,8661.041
FL00097,934.522,4612.774,7643.663
FL00098,5648.888,1497.22,11550.589
FL00099,5509.68,5792.065,9649.457
FL00100,7135.386,2217.798,6862.566
FL00101,9856.524,8649.561,764.233
FL00102,7216.103,9103.376,551.386
FL00103,3872.956,147.034,8970.981
FL00104,4969.011,8463.206,4147.539
FL00105,2061.374,3928.712,8363.746
FL00106,9095.055,6147.129,2112.251
FL00107,146.616,5951.567,2337.845
FL00108,6359.757,4309.021,9777.901
FL00109,4191.621,8033.055,5659.623
FL00110,7885.196,9479.856,7153.828
FL00111,5623.866,9015.695,2738.459
FL00112,9788.751,8867.67,4112.715
FL00113,2574.947,7281.348,8600.641
FL00114,6779.657,3788.348,8736.788
FL00115,8127.501,6201.181,3387.03
FL00116,9275.828,9520.731,11583.025
FL00117,5048.125,5959.622,5304.726
FL00118,8000.147,6018.523,8203.186
FL00119,1989.595,4461.268,1298.152
FL00120,8443.631,6608.002,3356.924
FL00121,5651.481,168.968,7301.317
FL00122,4304.728,9791.675,8335.215
FL00123,3995.676,9956.791,10540.941
FL00124,3109.809,8762.974,8332.285
FL00125,4782.501,9821.676,6454.05
FL00126,6766.091,3211.584,11849.102
FL00127,503.668,9099.071,10231.986
FL00128,1026.657,6427.559,9779.889
FL00129,9339.401,7056.782,11277.36
FL00130,8920.865,3276.787,6857.068
FL00131,4290.106,8405.412,1512.324
FL00132,3002.221,3867.082,2277.379
FL00133,8090.956,141.921,6394.04
FL00134,4396.396,7470.203,10294.482
FL00135,5988.506,2707.625,4198.183
FL00136,8455.333,544.732,10862.908
FL00137,1216.316,7965.129,3279.703
FL00138,387.584,6592.506,3608.179
FL00139,1034.403,108.928,8340.48
FL00140,2627.609,3854.741,11021.703
FL00141,6616.394,7191.282,1518.994
FL00142,3220.636,5414.852,4172.723
FL00143,173.387,2564.717,1483.117
FL00144,698.777,8952.896,8430.277
FL00145,2847.268,1521.497,6371.87
FL00146,7616.273,3287.398,7088.929
FL00147,7496.493,1674.065,11725.276
FL00148,2532.139,6248.516,3780.541
FL00149,6272.563,3018.68,5154.131
FL00150,7586.263,6450.079,705.155
FL00151,2757.255,5724.81,2368.925
FL00152,8746.695,8951.991,8806.953
FL00153,8546.192,863.692,1379.304
FL00154,4465.225,9890.312,2097.953
FL00155,6012.869,4229.963,1854.369
FL00156,469.295,5793.761,2656.041
FL00157,1025.495,7465.297,4836.332
FL00158,1305.286,1519.611,6536.881
FL00159,8404.88,5477.882,3398.81
FL00160,8034.429,3300.096,408.628
FL00161,4393.619,8747.939,3735.109
FL00162,6288.81,2819.456,560.501
FL00163,7352.701,3132.47,6200.569
FL00164,9525.235,2114.402,7207.104
FL00165,8224.4,9607.821,8777.731
FL00166,5651.409,6173.419,5927.082
FL00167,3225.324,1814.723,4464.292
FL00168,2518.668,6502.879,8394.358
FL00169,3182.657,9490.459,9545.721
FL00170,9073.345,3298.384,11858.352
FL00171,1359.731,823.309,1457.976
FL00172,6306.889,2269.548,1382.779
FL00173,5713.1,6778.322,4996.66
FL00174,34.025,16.635,7466.401
FL00175,7356.311,8133.933,4228.525
FL00176,4462.287,9626.358,1964.995
FL00177,9024.398,9334.629,2059.043
FL00178,6130.245,7349.292,7300.723
FL00179,1776.299,7173.321,8239.599
FL00180,523.591,8884.614,853.837
FL00181,6753.904,9067.16,8688.306
FL00182,4377.611,6622.141,2378.367
FL00183,3649.52,1783.662,1790.701
FL00184,6136.238,742.265,11662.381
FL00185,9144.845,9813.341,6126.15
FL00186,3051.843,8638.177,5359.439
FL00187,208.089,4694.589,2527.625
FL00188,3259.438,9304.332,1406.78
FL00189,2560.583,1772.238,9151.194
FL00190,1546.411,6551.004,10761.752
FL00191,5614.388,1172.061,10097.316
FL00192,7300.103,630.73,6761.532
FL00193,7028.78,4255.121,4260.831
FL00194,1306.051,7620.885,11069.782
FL00195,138.321,9238.07,2828.364
FL00196,6750.261,5926.462,7661.692
FL00197,6333.65,6722.53,6253.396
FL00198,8567.218,9849.062,8390.627
FL00199,7593.974,9614.359,10609.781
FL00200,3499.906,6860.277,11481.408
FL00201,2997.674,3410.144,9743.019
FL00202,4638.983,9213.553,9171.21
FL00203,6350.079,8386.308,4088.924
FL00204,4075.39,4342.252,5780.031
FL00205,2065.035,877.486,4732.118
FL00206,7415.065,7106.135,10021.569
FL00207,4938.017,1532.691,4686.076
FL00208,7932.397,3436.14,11479.746
FL00209,9768.938,1729.908,7544.97
FL00210,5969.841,2740.553,9703.691
FL00211,4685.241,2794.18,4150.683
FL00212,4585.503,3638.214,4201.772
FL00213,6545.39,677.343,11014.144
FL00214,225.076,2209.601,7582.185
FL00215,8608.234,550.526,11030.264
FL00216,7029.79,9873.094,4887.453
FL00217,4093.08,9926.037,2045.91
FL00218,5574.304,797.175,3221.583
FL00219,1771.836,6823.047,8813.645
FL00220,4640.328,8010.015,10674.533
FL00221,7104.029,1150.679,9777.888
FL00222,3117.263,3685.064,6633.131
FL00223,2485.867,1166.775,6385.915
FL00224,9847.813,1999.717,8987.501
FL00225,8381.743,9176.776,8319.709
FL00226,7568.976,6083.566,10177.841
FL00227,6644.361,400.344,11194.622
FL00228,8440.765,170.208,211.607
FL00229,9428.761,9511.853,11475.301
FL00230,8315.48,2581.156,4512.441
FL00231,1062.338,7217.882,2013.077
FL00232,8208.535,1013.098,8510.445
FL00233,886.364,9825.407,677.954
FL00234,5209.76,3767.555,7133.756
FL00235,7340.552,2873.605,1388.42
FL00236,3691.751,2040.066,3030.169
FL00237,7703.621,8009.739,6681.783
FL00238,1775.823,203.705,10805.152
FL00239,4269.894,8454.102,7793.258
FL00240,9196.25,9657.299,2288.048
FL00241,3626.569,8799.04,4751.557
FL00242,6405.505,3810.745,8878.512
FL00243,952.186,8795.363,6427.812
FL00244,7701.164,4045.114,10999.253
FL00245,823.419,9011.402,5546.527
FL00246,9185.594,7437.913,11972.513
FL00247,4472.08,1397.827,1589.969
FL00248,2300.358,545.645,9170.902
FL00249,863.091,5589.091,6518.347
FL00250,7966.843,3793.119,4787.341
FL00251,2183.463,7006.606,10701.029
FL00252,8965.034,1119.874,6116.659
FL00253,9900.591,7101.65,9186.068
FL00254,1465.279,2011.272,5499.554
FL00255,7275.992,2871.762,1639.558
FL00256,9493.227,2192.152,1044.119
FL00257,1368.178,7464.494,727.252
FL00258,4871.944,7366.638,1759.909
FL00259,882.55,6824.275,824.515
FL00260,8682.179,7111.328,3214.678
FL00261,1713.312,4182.318,7962.327
FL00262,8888.65,513.197,9679.875
FL00263,2497.617,6743.704,2158.749
FL00264,9764.012,4351.712,6570.737
FL00265,7612.521,3898.44,5371.646
FL00266,1482.869,4953.95,3412.649
FL00267,4876.184,63.301,5744.355
FL00268,3241.9,5222.224,10061.051
FL00269,4492.594,8065.287,1541.801
FL00270,5089.584,5860.666,8021.692
FL00271,5038.374,2198.099,11108.146
FL00272,3876.444,5639.012,8042.739
FL00273,1601.169,3737.457,10395.62
FL00274,4774.787,9528.336,744.478
FL00275,3002.918,9650.24,3684.053
FL00276,6366.947,7541.384,8365.783
FL00277,2825.727,9233.93,5622.815
FL00278,7482.108,1656.388,538.354
FL00279,511.581,1055.785,2448.43
FL00280,290.274,1498.557,7767.993
FL00281,743.713,44.712,472.077
FL00282,5489.009,5572.404,5886.793
FL00283,8298.065,7173.078,5989.061
FL00284,8082.593,2739.126,8945.15
FL00285,9147.483,7469.785,4167.907
FL00286,7560.912,8164.374,10052.008
FL00287,906.282,5506.309,9819.789
FL00288,5033.235,7457.137,9223.101
FL00289,2496.147,1383.424,6877.03
FL00290,9412.709,3751.408,674.926
FL00291,7998.711,9314.454,3420.662
FL00292,164.308,6980.744,4082.352
FL00293,9770.232,8922.971,2120.763
FL00294,8121.621,8314.429,653.79
FL00295,7480.38,4624.168,6522.882
FL00296,428.367,7834.598,8654.045
FL00297,3014.793,6160.986,11487.071
FL00298,8070.935,334.524,9740.439
FL00299,7873.748,4606.508,11001.364
FL00300,7389.493,4170.037,5414.424
FL00301,4509.749,9663.227,7657.939
FL00302,1452.337,1441.324,8304.084
FL00303,5473.785,1915.228,6587.703
FL00304,2535.876,7856.509,8088.887
FL00305,144.213,490.215,9671.105
FL00306,229.852,7572.618,8787.738
FL00307,3212.027,9345.294,1773.206
FL00308,3286.598,30.932,4262.962
FL00309,5272.903,2779.307,9172.604
FL00310,7671.819,7427.532,1794.573
FL00311,5283.497,5061.757,6490.546
FL00312,2783.171,3553.897,2196.553
FL00313,6446.992,2356.161,3668.302
FL00314,5503.942,3802.456,372.126
FL00315,657.178,3015.1,2868.332
FL00316,1270.312,8010.664,9853.864
FL00317,4169.32,6772.102,3245.893
FL00318,6903.445,7276.474,3175.193
FL00319,6459.445,172.755,6423.78
FL00320,2024.083,6104.425,261.939
FL00321,1044.562,6324.914,11291.19
FL00322,6185.735,3020.324,7431.034
FL00323,7385.785,7415.124,10950.31
FL00324,2833.936,5814.429,6400.988
FL00325,9216.655,7095.166,7658.534
FL00326,9097.788,2571.152,5649.277
FL00327,9817.038,5748.039,5950.291
FL00328,3884.158,6503.609,5900.311
FL00329,8035.012,9387.746,3681.212
FL00330,7977.079,4316.011,3078.479
FL00331,6599.65,9673.802,5858.487
FL00332,2275.498,377.276,7315.093
FL00333,174.938,1567.412,7131.435
FL00334,1358.543,3256.662,1939.685
FL00335,9855.268,4078.925,4861.213
FL00336,5822.932,7319.354,11186.525
FL00337,1526.401,7577.086,9393.88
FL00338,1253.654,8352.533,1703.269
FL00339,4481.136,8414.47,1822.746
FL00340,719.602,1872.741,5154.549
FL00341,2816.937,2296.21,10309.865
FL00342,8624.639,2487.258,10084.104
FL00343,4573.97,2610.967,10569.189
FL00344,7261.996,1710.983,6857.499
FL00345,5734.704,119.536,6717.831
FL00346,1840.924,702.859,452.73
FL00347,7852.158,6262.323,2076.622
FL00348,5355.422,4804.873,6027.931
FL00349,6566.218,7126.018,9903.262
FL00350,69.651,3121.476,10182.096
FL00351,3739.953,452.572,5355.31
FL00352,1866.983,1736.695,11189.658
FL00353,8355.089,4118.257,2790.715
FL00354,6163.313,7534.869,11442.04
FL00355,9188.746,9468.917,1217.541
FL00356,3410.976,3403.034,3977.108
FL00357,8238.736,944.121,954.288
FL00358,7292.791,7072.389,3335.208
FL00359,3041.425,2745.067,5229.476
FL00360,9798.461,4356.797,8883.298
FL00361,9345.462,5175.491,10609.933
FL00362,3442.988,4773.157,10868.395
FL00363,7349.112,5680.042,5948.655
FL00364,4457.592,7901.62,6344.799
FL00365,8954.458,549.521,11449.527
FL00366,8328.431,5455.751,11376.115
FL00367,3967.207,8054.485,546.206
FL00368,7059.555,7446.802,6034.459
FL00369,9639.066,6640.12,496.697
FL00370,3191.566,5883.826,10219.771
FL00371,405.021,6584.352,2965.977
FL00372,643.808,375.487,4952.796
FL00373,4840.199,2811.371,11212.584
FL00374,1775.669,4345.105,3252.738
FL00375,2160.887,2657.525,5258.88
FL00376,9606.765,6428.226,10837.427
FL00377,8163.682,8116.89,4034.567
FL00378,5235.2,8353.969,5916.004
FL00379,5016.085,5858.458,7149.446
FL00380,4084.658,6696.889,10819.834
FL00381,8136.041,5004.346,6240.8
FL00382,4342.012,6901.694,11590.572
FL00383,1164.781,2227.756,7693.296
FL00384,9956.376,7704.819,6473.765
FL00385,339.01,5800.776,11315.327
FL00386,8393.913,3838.683,5861.589
FL00387,1155.406,2431.977,10763.165
FL00388,4147.503,5635.596,10349.551
FL00389,5160.645,9124.805,513.521
FL00390,9469.035,7150.759,5779.795
FL00391,9706.646,4180.885,2220.295
FL00392,8597.875,9721.519,2762.509
FL00393,3014.206,9850.952,5205.959
FL00394,2237.357,2861.289,2305.867
FL00395,9761.277,5974.911,4196.659
FL00396,9067.123,3777.03,7960.923
FL00397,4796.099,8829.431,10622.203
FL00398,4357.079,3007.676,5404.646
FL00399,6151.167,3913.354,6425.528
FL00400,7117.623,6676.494,11306.884
FL00401,9287.711,1663.944,10818.44
